"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"40","TXL000334","Richard Peña Raymond","Richard Peña","","Raymond","","",TRUE,"tx","lower",42,"Democratic","http://www.house.state.tx.us/photos/members/4215.jpg","2010-06-19 03:51:42.543000","2017-06-01 10:38:26.651000","member",85,"","","",NA,""
"41","TXL000338","Eddie Rodriguez","Eddie","","Rodriguez","","",TRUE,"tx","lower",51,"Democratic","http://www.house.state.tx.us/photos/members/4270.jpg","2010-06-19 03:51:42.555000","2017-06-01 10:38:26.719000","member",85,"","","",NA,""
"42","TXL000344","John Smithee","John T.","","Smithee","","",TRUE,"tx","lower",86,"Republican","http://www.house.state.tx.us/photos/members/4530.jpg","2010-06-19 03:51:42.594000","2017-06-01 10:38:26.721000","member",85,"","","",NA,""
"43","TXL000347","Joe Straus","Joe","","Straus","","",TRUE,"tx","lower",121,"Republican","http://www.house.state.tx.us/photos/members/4565.jpg","2010-06-19 03:51:42.604000","2017-06-01 10:35:57.467000","member",85,"","","",NA,""
"44","TXL000352","Senfronia Thompson","Senfronia","","Thompson","","",TRUE,"tx","lower",141,"Democratic","http://www.house.state.tx.us/photos/members/4630.jpg","2010-06-19 03:51:42.631000","2017-06-01 10:38:26.565000","member",85,"","","",NA,""
"45","TXL000354","Chris Turner","Chris","","Turner","","",TRUE,"tx","lower",101,"Democratic","http://www.house.state.tx.us/photos/members/4680.jpg","2010-06-19 03:51:42.637000","2017-06-01 10:38:26.398000","member",85,"","","",NA,""
"46","TXL000359","Hubert Vo","Hubert","","Vo","","",TRUE,"tx","lower",149,"Democratic","http://www.house.state.tx.us/photos/members/4900.jpg","2010-06-19 03:51:42.653000","2017-06-01 10:38:26.147000","member",85,"","","",NA,""
"47","TXL000360","Armando Walle","Armando","","Walle","","",TRUE,"tx","lower",140,"Democratic","http://www.house.state.tx.us/photos/members/4930.jpg","2010-06-19 03:51:42.668000","2017-06-01 10:38:26.254000","member",85,"","","",NA,""
"48","TXL000363","John Zerwas","John","","Zerwas","","",TRUE,"tx","lower",28,"Republican","http://www.house.state.tx.us/photos/members/5170.jpg","2010-06-19 03:51:42.678000","2017-06-01 10:38:26.068000","member",85,"","","",NA,""
"49","TXL000370","Rodney Anderson","Rodney","","Anderson","","",TRUE,"tx","lower",105,"Republican","http://www.house.state.tx.us/photos/members/2215.jpg","2011-01-14 22:24:08.381000","2017-06-01 10:38:26.177000","member",85,"","","",NA,""
"50","TXL000373","Cindy Burkett","Cindy","","Burkett","","",TRUE,"tx","lower",113,"Republican","http://www.house.state.tx.us/photos/members/2195.jpg","2011-01-14 22:24:08.382000","2017-06-01 10:38:26.569000","member",85,"","","",NA,""
"51","TXL000378","Sarah Davis","Sarah","","Davis","","",TRUE,"tx","lower",134,"Republican","http://www.house.state.tx.us/photos/members/2305.jpg","2011-01-14 22:24:08.385000","2017-06-01 10:38:26.832000","member",85,"","","",NA,""
"52","TXL000379","John Frullo","John","","Frullo","","",TRUE,"tx","lower",84,"Republican","http://www.house.state.tx.us/photos/members/2005.jpg","2011-01-14 22:24:08.385000","2017-06-01 10:38:26.547000","member",85,"","","",NA,""
"53","TXL000381","Larry Gonzales","Larry","","Gonzales","","",TRUE,"tx","lower",52,"Republican","http://www.house.state.tx.us/photos/members/2080.jpg","2011-01-14 22:24:08.387000","2017-06-01 10:38:26.580000","member",85,"","","",NA,""
"54","TXL000385","Dan Huberty","Dan","","Huberty","","",TRUE,"tx","lower",127,"Republican","http://www.house.state.tx.us/photos/members/2285.jpg","2011-01-14 22:24:08.389000","2017-06-01 10:38:25.530000","member",85,"","","",NA,""
"55","TXL000386","Jason Isaac","Jason","","Isaac","","",TRUE,"tx","lower",45,"Republican","http://www.house.state.tx.us/photos/members/2070.jpg","2011-01-14 22:24:08.390000","2017-06-01 10:38:25.846000","member",85,"","","",NA,""
"56","TXL000387","John Kuempel","John","","Kuempel","","",TRUE,"tx","lower",44,"Republican","http://www.house.state.tx.us/photos/members/2310.jpg","2011-01-14 22:24:08.288000","2017-06-01 10:38:26.712000","member",85,"","","",NA,""
"57","TXL000389","Lyle Larson","Lyle","","Larson","","",TRUE,"tx","lower",122,"Republican","http://www.house.state.tx.us/photos/members/2245.jpg","2011-01-14 22:24:08.391000","2017-06-01 10:38:26.594000","member",85,"","","",NA,""
"58","TXL000391","J. M. Lozano","J. M.","","Lozano","","",TRUE,"tx","lower",43,"Republican","http://www.house.state.tx.us/photos/members/2065.jpg","2011-01-14 22:24:08.288000","2017-06-01 10:38:26.350000","member",85,"","","",NA,""
"59","TXL000396","Sergio Muñoz, Jr.","Sergio","","Muñoz","Jr.","",TRUE,"tx","lower",36,"Democratic","http://www.house.state.tx.us/photos/members/2060.jpg","2011-01-14 22:24:08.414000","2017-06-01 10:38:26.131000","member",85,"","","",NA,""
"60","TXL000397","Jim Murphy","Jim","","Murphy","","",TRUE,"tx","lower",133,"Republican","http://www.house.state.tx.us/photos/members/3875.jpg","2011-01-14 22:24:08.415000","2017-06-01 10:38:26.459000","member",85,"","","",NA,""
"61","TXL000402","Four Price","Four","","Price","","",TRUE,"tx","lower",87,"Republican","http://www.house.state.tx.us/photos/members/2185.jpg","2011-01-14 22:24:08.417000","2017-06-01 10:38:26.611000","member",85,"","","",NA,""
